MonthYear,Analyte,C10A,C3A,D10,D12,D16,D22,D26,D28A,D4,D41,D6,D7,D8,MD10A,P8
2013-03-01T08:00:00Z,Secchi,NA,160,32,100,172,72,236,304,48,105,44,30,64,296,184
2013-04-01T07:00:00Z,Secchi,NA,120,40,48,105,40,120,104,24,72,44,28,64,140,140
2013-05-01T07:00:00Z,Secchi,NA,80,32,32,72,36,120,80,24,88,44,22,48,160,124
2013-06-01T07:00:00Z,Secchi,NA,140,32,44,72,40,84,88,24,92,48,36,32,68,132
2013-07-01T07:00:00Z,Secchi,NA,80,44,48,100,56,140,148,60,120,52,20,50,204,144
2013-08-01T07:00:00Z,Secchi,NA,108,38,56,84,54,124,140,44,104,60,40,40,140,128
2013-09-01T07:00:00Z,Secchi,NA,180,32,64,112,68,96,192,40,112,88,56,44,184,140
2013-10-01T07:00:00Z,Secchi,NA,208,56,44,100,60,96,188,60,96,92,44,60,164,80
2013-11-01T07:00:00Z,Secchi,NA,200,48,72,168,84,112,276,76,116,92,48,60,272,112
2013-12-01T08:00:00Z,Secchi,NA,164,28,40,148,44,132,264,48,100,72,24,36,392,220
2014-01-01T08:00:00Z,Secchi,180,180,40,52,148,52,164,220,56,136,104,64,56,292,292
2014-02-01T08:00:00Z,Secchi,NA,180,64,68,156,64,148,242,88,132,72,48,72,240,104
2014-03-01T08:00:00Z,Secchi,NA,20,32,44,108,36,72,184,44,92,44,40,40,248,220
2014-04-01T07:00:00Z,Secchi,NA,55,16,44,88,44,108,180,36,120,68,24,48,246,164
2014-05-01T07:00:00Z,Secchi,NA,180,24,32,76,28,112,180,24,96,48,24,32,272,164
2014-06-01T07:00:00Z,Secchi,NA,80,40,80,88,44,108,236,48,88,44,60,44,196,132
2014-07-01T07:00:00Z,Secchi,NA,120,52,48,92,60,100,216,68,48,56,52,52,128,140
2014-08-01T07:00:00Z,Secchi,NA,120,44,60,88,48,140,184,40,84,68,40,88,182,148
2014-09-01T07:00:00Z,Secchi,NA,200,60,52,116,50,132,238,70,124,92,40,70,260,144
2014-10-01T07:00:00Z,Secchi,NA,90,76,72,124,64,180,300,104,84,112,64,112,364,152
2014-11-01T07:00:00Z,Secchi,NA,250,52,60,152,44,172,302,76,100,76,40,56,248,48
2014-12-01T08:00:00Z,Secchi,NA,40,20,40,15,12,20,140,16,100,52,40,28,100,50
2015-01-01T08:00:00Z,Secchi,NA,100,40,40,60,35,60,70,50,60,55,40,50,140,100
2015-02-01T08:00:00Z,Secchi,NA,40,32,48,24,12,24,96,24,112,56,24,24,160,32
2015-03-01T08:00:00Z,Secchi,NA,180,32,32,64,32,72,108,40,160,70,40,44,232,104
2015-04-01T07:00:00Z,Secchi,NA,130,52,28,60,28,80,112,56,104,48,32,44,160,110
2015-05-01T07:00:00Z,Secchi,NA,180,20,32,52,36,56,76,24,60,32,40,40,216,120
2015-06-01T07:00:00Z,Secchi,NA,150,40,60,74,50,64,140,50,90,70,50,50,190,124
2015-07-01T07:00:00Z,Secchi,NA,150,36,48,56,44,80,120,48,NA,NA,28,48,160,100
2015-08-01T07:00:00Z,Secchi,NA,204,40,56,88,48,116,116,68,60,52,24,44,152,80
2015-09-01T07:00:00Z,Secchi,NA,128,40,88,92,52,112,80,64,124,88,80,120,124,84
2015-10-01T07:00:00Z,Secchi,NA,230,60,76,100,52,132,200,76,180,128,52,92,196,180
2015-11-01T07:00:00Z,Secchi,NA,270,40,60,96,40,116,200,44,168,76,48,48,208,176
2015-12-01T08:00:00Z,Secchi,NA,300,40,44,76,44,80,172,60,156,84,64,56,244,180
2016-01-01T08:00:00Z,Secchi,NA,120,36,32,40,32,60,72,60,116,72,40,48,280,160
2016-02-01T08:00:00Z,Secchi,NA,20,28,24,40,20,52,12,34,96,52,24,32,72,108
2016-03-01T08:00:00Z,Secchi,NA,200,60,52,108,64,104,112,68,100,44,36,56,240,100
2016-04-01T07:00:00Z,Secchi,NA,128,32,48,88,80,108,116,32,152,60,28,28,188,68
2016-05-01T07:00:00Z,Secchi,NA,184,28,24,48,34,64,70,28,96,52,24,44,222,88
2016-06-01T07:00:00Z,Secchi,NA,168,28,28,80,32,120,100,24,48,36,28,40,184,88
2016-07-01T07:00:00Z,Secchi,NA,128,52,48,88,64,108,180,56,92,56,52,44,68,108
2016-08-01T07:00:00Z,Secchi,NA,168,40,44,112,96,160,180,40,116,72,28,52,132,120
2016-09-01T07:00:00Z,Secchi,NA,128,40,52,100,40,148,204,44,120,60,52,44,240,106
2016-10-01T07:00:00Z,Secchi,NA,NA,56,68,136,76,136,360,76,120,88,48,60,296,72
2016-11-01T07:00:00Z,Secchi,NA,NA,88,84,184,64,148,332,96,200,132,80,88,276,204
2016-12-01T08:00:00Z,Secchi,NA,NA,40,52,96,48,100,196,64,84,72,40,60,196,124
2017-01-01T08:00:00Z,Secchi,NA,NA,28,40,48,24,60,60,32,40,20,24,32,28,40
2017-02-01T08:00:00Z,Secchi,NA,NA,16,52,52,20,40,100,20,16,28,28,40,92,68
